params,pr_auc_mean,roc_auc_mean,f1_mean
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 1200, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 0.8}",0.06340579710144928,0.8651051329622758,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 4.0, 'scale_pos_weight': 49.25, 'subsample': 0.8}",0.04805491990846682,0.8298031333745619,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 2000, 'reg_lambda': 2.0, 'scale_pos_weight': 49.25, 'subsample': 0.8}",0.04631578947368421,0.8119459905174191,0.0
"{'colsample_bytree': 1.0, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 2000, 'reg_lambda': 1.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 2600, 'reg_lambda': 1.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 1.0, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 1200, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 2000, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 2000, 'reg_lambda': 2.0, 'scale_pos_weight': 147.75, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 4.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 2000, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 1200, 'reg_lambda': 4.0, 'scale_pos_weight': 98.5, 'subsample': 0.8}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200, 'reg_lambda': 4.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 1.0, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 2000, 'reg_lambda': 1.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 2000, 'reg_lambda': 1.0, 'scale_pos_weight': 147.75, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 2000, 'reg_lambda': 4.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 2000, 'reg_lambda': 4.0, 'scale_pos_weight': 147.75, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 1.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6479849515563801,0.0
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 2000, 'reg_lambda': 2.0, 'scale_pos_weight': 98.5, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 2000, 'reg_lambda': 2.0, 'scale_pos_weight': 49.25, 'subsample': 0.9}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 1200, 'reg_lambda': 2.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 2000, 'reg_lambda': 4.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1200, 'reg_lambda': 1.0, 'scale_pos_weight': 147.75, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 4.0, 'scale_pos_weight': 98.5, 'subsample': 0.9}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 1200, 'reg_lambda': 1.0, 'scale_pos_weight': 147.75, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 1200, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 1.0}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 1.0, 'gamma': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 1200, 'reg_lambda': 4.0, 'scale_pos_weight': 49.25, 'subsample': 0.9}",0.02673913043478261,0.6428829107400537,0.0
"{'colsample_bytree': 1.0, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 2000, 'reg_lambda': 2.0, 'scale_pos_weight': 49.25, 'subsample': 0.9}",0.02673913043478261,0.6428829107400535,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200, 'reg_lambda': 4.0, 'scale_pos_weight': 98.5, 'subsample': 0.9}",0.02673913043478261,0.6403318903318903,0.0
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 2.0, 'scale_pos_weight': 49.25, 'subsample': 0.9}",0.02673913043478261,0.6277829313543599,0.0
"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 2600, 'reg_lambda': 4.0, 'scale_pos_weight': 147.75, 'subsample': 0.8}",0.02673913043478261,0.6277829313543599,0.0
"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 2600, 'reg_lambda': 1.0, 'scale_pos_weight': 49.25, 'subsample': 0.9}",0.02673913043478261,0.6226808905380334,0.0
